price,area,location,no_of_bedrooms,resale,maintenancestaff,gymnasium,swimmingpool,landscapedgardens,joggingtrack,rainwaterharvesting,indoorgames,shoppingmall,intercom,sportsfacility,atm,clubhouse,school,24x7security,powerbackup,carparking,staffquarter,cafeteria,multipurposeroom,hospital,washingmachine,gasconnection,ac,wifi,children'splayarea,liftavailable,bed,vaastucompliant,microwave,golfcourse,tv,diningtable,sofa,wardrobe,refrigerator,city,latitude,longitude,log_price
69.68,1340,Nizampet,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.515397,78.3817156,4.2581626474514955
290.0,3498,Hitech City,4.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.451523,78.3825785,5.673323267171493
65.9,1318,Manikonda,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,16.449897,80.8334595,4.203198967134183
57.39,1295,Alwal,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.5022292,78.5088584,4.067144642295446
56.79,1145,Kukatpally,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.4930841,78.4054408,4.056815750329687
60.99,1230,Nizampet,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.515397,78.3817156,4.126973081713828
70.0,1350,Manikonda,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,16.449897,80.8334595,4.2626798770413155
41.98,1400,Gachibowli,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.4436222,78.3519638,3.7607348912143643
99.0,2240,Tellapur,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.4535469,78.2905401,4.605170185988092
98.0,1520,Gachibowli,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,17.4436222,78.3519638,4.59511985013459
