column,dtype,missing,unique_values
price,float64,0,632
area,int64,0,547
location,str,0,207
no_of_bedrooms,float64,0,7
resale,int64,0,2
maintenancestaff,float64,0,2
gymnasium,float64,0,2
swimmingpool,float64,0,2
landscapedgardens,float64,0,2
joggingtrack,float64,0,2
rainwaterharvesting,float64,0,2
indoorgames,float64,0,2
shoppingmall,float64,0,2
intercom,float64,0,2
sportsfacility,float64,0,2
atm,float64,0,2
clubhouse,float64,0,2
school,float64,0,2
24x7security,float64,0,2
powerbackup,float64,0,2
carparking,float64,0,2
staffquarter,float64,0,2
cafeteria,float64,0,2
multipurposeroom,float64,0,2
hospital,float64,0,2
washingmachine,float64,0,2
gasconnection,float64,0,2
ac,float64,0,2
wifi,float64,0,2
children'splayarea,float64,0,2
liftavailable,float64,0,2
bed,float64,0,2
vaastucompliant,float64,0,2
microwave,float64,0,2
golfcourse,float64,0,2
tv,float64,0,2
diningtable,float64,0,2
sofa,float64,0,2
wardrobe,float64,0,2
refrigerator,float64,0,2
city,str,0,1
latitude,float64,0,201
longitude,float64,0,201
log_price,float64,0,632
