Feature,Coefficient
area,0.31953169278273785
no_of_bedrooms,0.058176688125927176
resale,0.011744651006017943
maintenancestaff,-0.0186248631546309
gymnasium,-0.0026986749919328794
swimmingpool,0.030812111974408682
landscapedgardens,0.023268983343560257
joggingtrack,-0.006711878370074483
rainwaterharvesting,-0.011783514664496165
indoorgames,0.007909500169944534
shoppingmall,0.02995160283645941
intercom,-0.003271594921513768
sportsfacility,0.02268132770684238
atm,0.019873559498619135
clubhouse,-0.014250687349553601
school,-0.06444140790993368
24x7security,-0.006061569544057585
powerbackup,0.02020619720254073
carparking,-0.014761704798900377
staffquarter,-0.020947495636917255
cafeteria,-0.018528816064531016
multipurposeroom,0.034989060051005626
hospital,0.034416537151322674
washingmachine,-0.009530839004677192
gasconnection,-0.01093899503922297
ac,0.021329670610810203
wifi,-0.00602601255365966
children'splayarea,0.019225800936913236
liftavailable,0.013308019610129411
bed,0.021328588186007042
vaastucompliant,0.01686679268345638
microwave,-0.01823541520683066
golfcourse,-0.0467597535438943
tv,0.02592538191187106
diningtable,-0.016507249542711787
sofa,-0.0151730258399165
wardrobe,-0.024130370706555205
refrigerator,0.029816122590093263
latitude,-0.019706133874471888
longitude,0.012412497755644148
location_AS Rao Nagar,-0.25851912622113077
location_Adda Gutta,0.05090225153257433
location_Alkapur township,-0.007455917964495608
location_Allwyn Colony,-0.021640753646312443
location_Almasguda,-0.08568870872480731
location_Alwal,-0.10788203950720794
location_Ambedkar Nagar,-0.2063733536136423
location_Amberpet,0.04141369646348744
location_Ameenpur,-0.16795775621900702
location_Ameerpet,-0.022770557529156448
location_Aminpur,-0.08562452963577079
location_Appa Junction,0.1881264814651458
location_Ashok Nagar,0.4059984143336224
location_Attapur,-0.11078320738009219
location_Aushapur,0.12062633858449959
location_BHEL,-0.40553917205617157
location_BK Guda Internal Road,-0.5179811269996625
location_BK Guda Road,0.007983108810819458
location_Bachupally,-0.19874342296359362
location_Bachupally Road,-0.21635320323039375
location_Bagh Amberpet,0.34970280020017597
location_Baghlingampally,0.18046041117721767
location_Balanagar,-0.12186569267318872
location_Balapur,-0.19717202005939133
location_Bandlaguda Jagir,0.010893258192038218
location_Banjara Hills,0.6496000220261284
location_Banjara Hills Road Number 12,0.8514688896858298
location_Barkatpura,0.23216706758317449
location_Basheer Bagh,0.5492281760852683
location_Beeramguda,-0.36268972901822866
location_Begumpet,0.30639508615508076
location_Boduppal,-0.16443861340592586
location_Bolarum,-0.15674734325213613
location_Bollaram,-0.5389457743493524
location_Bowenpally,-0.17474872962633492
location_Central Excise Colony Hyderabad,0.27320514625796294
location_Chaitanyapuri,0.10795309907495898
location_Chandanagar,0.10913342416459189
location_Cherlapalli,-0.0020967787089159525
location_Chikkadapally,0.646617845086297
location_D D Colony,0.10094414070638008
location_DD Colony,0.35201607325446094
location_Dammaiguda,-0.39767668827344405
location_Domalguda,0.5066214273765753
location_Domalguda Road,0.5473566484266881
location_Dr A S Rao Nagar Rd,-0.00870091542296504
location_ECIL,0.0317693802146361
location_ECIL Cross Road,-0.15690585981066643
location_ECIL Main Road,-0.2213469564391321
location_East Marredpally,0.3199542639821915
location_Film Nagar,0.47730134335337854
location_Gachibowli,0.21437752500693164
location_Gajularamaram,-0.11030362106883113
location_Gandipet,0.1486957259544859
location_Ghansi Bazaar,-0.363663784520443
location_Gopanpally,0.2523726306129359
location_HMT Hills,0.04553520211848165
location_Habsiguda,0.4248046311563596
location_Hafeezpet,0.1988275771623576
location_Hakimpet,-0.53317543793829
location_Hastinapur,0.1936890593871318
location_Himayat Nagar,0.5065324116312538
location_Hitech City,0.4113419152017524
location_Hitex Road,0.15048701631025135
location_Hyder Nagar,0.028637813855834093
location_Hydershakote,-0.23045288461392194
location_IDPL Colony,0.3261657857970414
location_Isnapur,-0.6145720282846378
location_JNTU,0.2532554978071334
location_Jubilee Hills,0.5799667107058201
location_KPHB,-0.014583203742890108
location_KTR Colony,-0.6278722040322233
location_Kachiguda,0.12035610106285542
location_Kapra,-0.31223520233793806
location_Karimnagar,-0.31571960075015376
location_Karmanghat,-0.02918859164970208
location_Kavuri Hills,0.025314393285942635
